DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
2941,14.7,NaN,NaN,NaN,NaN,NaN,NaN,79.95629,-1594.34595,155.72035,-1248.01611,135.23047,-1227.68896,247.54532,-1262.724
2942,14.705,NaN,NaN,NaN,NaN,NaN,NaN,79.732,-1593.20215,157.23338,-1248.33301,136.73235,-1227.84851,249.10826,-1263.19836
2943,14.71,NaN,NaN,NaN,NaN,NaN,NaN,79.64661,-1592.13562,158.76889,-1248.56555,138.12434,-1228.10364,250.6178,-1263.46558
2944,14.715,NaN,NaN,NaN,NaN,NaN,NaN,79.49796,-1590.97424,160.29361,-1248.82581,139.37241,-1228.24011,252.09546,-1263.77783
2945,14.72,NaN,NaN,NaN,NaN,NaN,NaN,79.19263,-1589.87903,161.80743,-1249.09131,140.94698,-1228.5459,253.57475,-1263.99988
2946,14.725,NaN,NaN,NaN,NaN,NaN,NaN,78.93053,-1588.60938,163.29517,-1249.35754,142.47968,-1228.92139,255.05394,-1264.31018
2947,14.73,NaN,NaN,NaN,NaN,NaN,NaN,78.87795,-1587.58594,164.75313,-1249.58618,144.04901,-1229.23901,256.42795,-1264.62988
2948,14.735,NaN,NaN,NaN,NaN,NaN,NaN,78.70827,-1586.43518,166.12892,-1249.82727,145.3566,-1229.4187,257.70935,-1264.99194
2949,14.74,NaN,NaN,NaN,NaN,NaN,NaN,78.54798,-1585.21338,167.47206,-1250.14246,146.42906,-1229.60974,259.14301,-1265.37683
2950,14.745,NaN,NaN,NaN,NaN,NaN,NaN,78.01171,-1583.98071,168.7672,-1250.42139,147.76352,-1229.78003,260.34793,-1265.849
2951,14.75,NaN,NaN,NaN,NaN,NaN,NaN,77.85212,-1582.76086,169.97305,-1250.72644,148.92528,-1229.93872,261.34891,-1266.38794
