DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
6737,33.68,127.17171,-213.31935,163.04839,-230.10561,,,133.47777,-252.42635,350.92169,4.21783,333.17786,42.86906,,
6738,33.685,127.71357,-212.37672,163.43661,-229.06689,,,134.15025,-251.46223,352.04691,4.43528,334.30142,43.13057,,
6739,33.69,128.30782,-211.50314,164.00967,-228.22209,,,134.65652,-250.60651,353.14102,4.67581,335.33987,43.4878,,
6740,33.695,128.82072,-210.56747,164.5118,-227.28835,,,135.1259,-249.61609,354.07565,5.07648,336.62067,43.71479,,
6741,33.7,129.32382,-209.59874,164.97797,-226.27161,,,135.56786,-248.54453,355.18649,5.49923,337.52695,44.173,,
6742,33.705,129.86115,-208.59756,165.46431,-225.28398,,,136.32603,-247.79027,356.01642,5.92184,338.4256,44.74228,,
6743,33.71,130.44054,-207.69225,166.02177,-224.43031,,,136.95993,-246.87193,356.85956,6.3071,339.26434,45.22395,,
6744,33.715,130.91205,-206.82814,166.5843,-223.4088,,,137.37102,-245.83109,357.63867,6.73563,340.07806,45.83709,,
6745,33.72,131.43311,-205.86855,167.11533,-222.47238,,,137.78983,-244.87627,358.24435,7.23957,340.80988,46.26268,,
6746,33.725,131.96375,-204.93159,167.59081,-221.69878,,,138.46292,-243.99403,358.87811,7.74116,341.43652,46.8748,,
6747,33.73,132.48903,-204.12994,168.14326,-220.65767,,,138.98595,-243.1705,359.53558,8.3808,342.04614,47.42274,,
6748,33.735,133.05875,-203.14134,168.80113,-219.81956,,,139.5065,-242.08115,360.10788,9.04544,342.61368,48.00945,,
6749,33.74,133.58771,-202.18335,169.32809,-218.97466,,,140.09941,-241.2514,360.60696,9.65679,343.1644,48.60872,,
6750,33.745,134.20952,-201.29904,170.01132,-217.99799,,,140.70334,-240.34698,360.99994,10.30571,343.62592,49.31835,,
6751,33.75,134.82867,-200.37994,170.57054,-217.02667,,,141.30939,-239.49319,361.36447,11.02707,344.06418,49.94649,,
6752,33.755,135.40038,-199.50536,171.2103,-216.10123,,,141.89893,-238.54427,361.74887,11.88234,344.54172,50.52682,,
6753,33.76,135.86986,-198.57295,171.87204,-215.18979,,,142.32343,-237.46445,362.0506,12.61418,344.96539,51.46573,,
6754,33.765,136.52525,-197.63495,172.43037,-214.20534,,,142.90756,-236.53769,362.33478,13.34965,345.3385,52.17034,,
6755,33.77,137.10461,-196.75323,173.03877,-213.31694,,,143.58014,-235.71579,362.69412,14.16339,345.67499,52.91671,,
6756,33.775,137.66806,-195.81259,173.64986,-212.3511,,,144.21375,-234.75961,363.05499,15.10902,346.01892,53.65203,,
6757,33.78,138.19136,-194.87222,174.24481,-211.42493,,,144.82071,-233.81953,363.32236,15.83917,346.29443,54.46949,,
6758,33.785,138.95337,-194.08051,174.69345,-210.45329,,,145.36525,-232.82799,363.62939,16.72408,346.6716,55.15438,,
6759,33.79,139.55185,-193.17514,175.40567,-209.56088,,,146.1441,-232.11786,363.91937,17.50197,347.04968,55.95948,,
6760,33.795,140.16499,-192.35126,176.02771,-208.63593,,,146.92627,-230.95105,364.34543,18.47394,347.39243,56.71653,,
6761,33.8,140.83022,-191.2787,176.614,-207.65044,,,147.42932,-229.96399,364.76523,19.33929,347.88025,57.51806,,
6762,33.805,141.45215,-190.35199,177.25304,-206.73654,,,148.04482,-229.03812,365.25122,20.19475,348.24951,58.26452,,
6763,33.81,142.15692,-189.43329,177.97061,-205.68053,,,148.4982,-227.9413,365.87857,21.08302,348.71661,59.08319,,
6764,33.815,142.69402,-188.49583,178.467,-204.68088,,,149.18617,-226.96698,366.44214,22.04271,349.3461,59.93153,,
6765,33.82,143.36632,-187.55629,179.17987,-203.80084,,,149.77164,-225.91724,367.21924,22.81366,350.07071,60.70491,,
6766,33.825,143.94946,-186.80367,179.93019,-202.84682,,,150.26137,-224.82306,367.93973,23.75949,350.72333,61.39541,,
6767,33.83,144.59494,-185.59541,180.51282,-201.82083,,,150.80949,-223.93919,368.90363,24.69793,351.46417,62.15115,,
6768,33.835,145.26506,-184.60721,181.15962,-200.83878,,,151.46689,-222.86024,369.78738,25.51675,352.23038,62.95952,,
6769,33.84,145.97372,-183.77051,181.76932,-199.88271,,,152.02263,-221.76978,370.76889,26.67427,352.96274,63.7136,,
6770,33.845,146.58279,-182.72981,182.35478,-198.88885,,,152.67702,-220.74275,371.84375,27.45958,353.84686,64.64725,,
6771,33.85,147.18288,-181.59921,183.02881,-197.83273,,,153.04666,-219.64479,372.83878,28.51242,354.82928,65.48048,,
6772,33.855,147.87268,-180.57597,183.61313,-196.79932,,,153.77046,-218.61623,373.97791,29.4318,355.87119,66.49115,,
6773,33.86,148.36409,-179.50401,184.28171,-195.80493,,,154.29268,-217.5755,375.09924,30.27971,356.89133,67.45383,,
6774,33.865,149.03604,-178.38498,184.8474,-194.80623,,,154.9012,-216.42833,376.19751,31.21484,358.17297,68.28649,,
6775,33.87,149.69252,-177.29897,185.44983,-193.68806,,,155.4406,-215.32941,377.45544,32.17376,359.27435,69.14038,,
6776,33.875,150.29535,-176.11325,186.11836,-192.65721,,,156.04172,-214.32008,378.80469,33.03479,360.44238,70.0984,,
6777,33.88,150.84265,-175.06728,186.73225,-191.57372,,,156.46918,-213.14063,379.99731,33.93043,361.6113,70.9931,,
6778,33.885,151.49124,-173.97318,187.31218,-190.44072,,,157.13127,-212.08034,381.36856,34.71315,362.83621,71.96309,,
6779,33.89,152.06908,-172.74948,187.88206,-189.30498,,,157.66312,-210.83891,382.8168,35.82359,364.14499,72.97826,,
6780,33.895,152.67566,-171.46747,188.33092,-188.30606,,,158.28166,-209.69458,384.22821,36.75235,365.54465,73.73979,,
6781,33.9,153.22108,-170.36987,188.99127,-187.12187,,,158.77589,-208.43164,385.57986,37.6189,366.84079,74.56095,,
6782,33.905,153.74512,-169.02831,189.38983,-185.92737,,,159.34207,-207.38589,387.17807,38.62943,368.18039,75.42175,,
6783,33.91,154.36531,-167.94035,190.00237,-184.68829,,,159.83931,-206.14119,388.69806,39.4502,369.59903,76.21185,,
6784,33.915,154.97398,-166.70993,190.60373,-183.53072,,,160.40315,-204.8656,390.267,40.19507,371.12534,76.95255,,
6785,33.92,155.49805,-165.43504,191.08545,-182.36583,,,160.9332,-203.58707,391.92273,41.17908,372.51181,77.80004,,
6786,33.925,156.06898,-164.19812,191.58786,-181.14163,,,161.30428,-202.38536,393.48953,41.97536,373.86963,78.53613,,
6787,33.93,156.72824,-162.84785,192.04936,-179.90683,,,161.81198,-201.14146,395.15802,42.93084,375.30414,79.37109,,
6788,33.935,157.31825,-161.53476,192.60625,-178.68011,,,162.29018,-199.79938,396.85309,43.72052,376.78287,80.12912,,
6789,33.94,157.80251,-160.28691,193.06349,-177.45894,,,162.64793,-198.53146,398.46863,44.65958,378.39661,80.90762,,
6790,33.945,158.23376,-158.9243,193.5513,-176.11473,,,163.16394,-197.0764,400.20969,45.49599,379.90652,81.70429,,
6791,33.95,158.76184,-157.532,193.99477,-174.80576,,,163.63483,-195.65871,401.91345,46.30901,381.44928,82.67097,,
6792,33.955,159.24268,-156.11339,194.51065,-173.53381,,,164.00656,-194.27153,403.60739,47.11829,382.94913,83.32012,,
6793,33.96,159.83487,-154.79047,195.02992,-172.00655,,,164.53546,-192.84697,405.16861,47.96819,384.40942,84.07159,,
6794,33.965,160.31555,-153.35112,195.58878,-170.79694,,,165.04457,-191.40306,406.77975,48.84529,385.96558,85.02318,,
6795,33.97,160.73767,-151.97354,195.98611,-169.37947,,,165.52194,-190.16045,408.47101,49.71607,387.59805,85.90701,,
6796,33.975,161.23405,-150.52463,196.41092,-168.06895,,,166.03925,-188.60597,410.0415,50.59907,389.21484,86.78284,,
6797,33.98,161.75279,-148.98326,196.89391,-166.78302,,,166.36322,-187.0751,411.65952,51.50259,390.82443,87.7893,,
6798,33.985,162.21249,-147.49738,197.3587,-165.26393,,,166.77538,-185.62474,413.09869,52.5005,392.34052,88.78544,,
6799,33.99,162.59021,-146.0153,197.7961,-163.80482,,,167.21735,-184.10893,414.49164,53.27758,393.8718,89.98602,,
6800,33.995,163.10153,-144.54779,198.3566,-162.39326,,,167.48131,-182.67017,415.85626,54.19083,395.3837,91.13611,,
6801,34,163.58861,-142.96335,198.77795,-160.87842,,,167.92291,-181.19751,417.08759,55.23363,397.10995,92.14463,,
6802,34.005,163.91905,-141.54512,199.16118,-159.48695,,,168.34299,-179.67351,418.33917,56.05583,398.49036,93.27416,,
6803,34.01,164.40523,-139.94339,199.60132,-157.99251,,,168.60501,-178.10591,419.54669,57.06661,399.94296,94.40206,,
6804,34.015,164.88728,-138.29083,199.86514,-156.48308,,,168.98836,-176.58347,420.64703,57.89934,401.20135,95.55849,,
6805,34.02,165.34056,-136.80383,200.35934,-154.96315,,,169.50803,-175.13628,421.82965,58.83443,402.63904,96.64178,,
6806,34.025,165.69528,-135.19299,200.7869,-153.39595,,,169.83249,-173.47369,423.01404,59.72145,403.99429,97.91031,,
6807,34.03,166.20398,-133.47055,201.09096,-151.77827,,,170.30388,-171.94351,424.09924,60.96881,405.46655,98.86956,,
6808,34.035,166.62358,-131.67946,201.48799,-150.30968,,,170.45221,-170.34506,425.23871,61.81334,406.83124,99.95853,,
6809,34.04,167.04204,-130.10005,201.83809,-148.70389,,,170.83675,-168.84009,426.46359,62.90731,408.29825,101.02311,,
6810,34.045,167.38559,-128.45837,202.24774,-147.03711,,,171.14536,-167.1427,427.79211,63.74199,409.76077,102.23521,,
6811,34.05,167.81592,-126.71817,202.64191,-145.47221,,,171.49147,-165.42865,429.19315,64.70533,411.20032,103.21599,,
6812,34.055,168.17868,-125.06447,203.00742,-143.93085,,,171.76318,-163.69394,430.54623,65.81206,412.63394,104.35091,,
6813,34.06,168.63934,-123.32999,203.34547,-142.28781,,,172.0778,-162.23775,431.89185,66.70277,413.96182,105.38805,,
6814,34.065,168.98672,-121.76771,203.61446,-140.68163,,,172.46764,-160.40102,433.27277,67.80341,415.34323,106.32057,,
6815,34.07,169.23701,-119.94651,203.96387,-138.79781,,,172.77911,-158.95206,434.69119,68.81135,416.98557,107.26987,,
6816,34.075,169.6472,-118.30622,204.32649,-137.24098,,,173.14182,-157.22159,436.20233,69.5889,418.35904,108.37734,,
6817,34.08,170.08713,-116.64603,204.6514,-135.54633,,,173.41125,-155.57095,437.41284,70.8307,419.81549,109.57426,,
6818,34.085,170.4315,-114.91161,205.00662,-133.87418,,,173.59264,-153.75555,438.72687,71.90569,421.24597,110.78581,,
6819,34.09,170.76668,-113.14917,205.2861,-132.20258,,,173.8978,-151.98741,439.88422,72.92578,422.57178,111.88882,,
6820,34.095,171.11182,-111.4141,205.64832,-130.46196,,,174.22916,-150.36729,441.09753,74.20238,423.82452,113.15025,,
6821,34.1,171.48465,-109.60429,205.90594,-128.81407,,,174.57118,-148.64694,442.12662,75.1189,425.29755,114.33504,,
6822,34.105,171.79124,-107.96922,206.22011,-127.17329,,,174.92088,-146.98994,443.09845,76.24663,426.72833,115.65456,,
6823,34.11,172.13025,-106.13825,206.55809,-125.2916,,,175.14586,-145.12935,444.11246,77.3044,428.09396,117.14745,,
6824,34.115,172.46504,-104.46808,206.82129,-123.67135,,,175.47075,-143.46339,445.10333,78.51653,429.66046,118.45531,,
6825,34.12,172.74655,-102.64277,207.16896,-121.80386,,,175.77357,-141.60216,446.12546,79.73045,431.07153,119.81215,,
6826,34.125,173.08813,-100.82055,207.46153,-120.20235,,,176.00055,-139.80453,447.14001,81.05745,432.43091,121.20915,,
6827,34.13,173.39755,-99.08986,207.77831,-118.49274,,,176.34573,-138.03636,448.39777,82.14093,433.93637,122.68887,,
6828,34.135,173.70241,-97.35202,208.16234,-116.67754,,,176.7421,-136.45226,449.59332,83.2438,435.40192,124.15776,,
6829,34.14,174.07994,-95.58314,208.43788,-114.95297,,,176.91599,-134.54771,450.99905,84.51829,437.1806,125.41923,,
6830,34.145,174.44122,-93.75008,208.74254,-113.2075,,,177.33055,-132.9745,452.34708,85.67918,438.71222,126.66837,,
6831,34.15,174.68649,-91.9463,209.00696,-111.51788,,,177.63748,-131.1125,453.85886,86.80396,440.259,127.92229,,
6832,34.155,174.99086,-90.18388,209.29036,-109.71543,,,177.88905,-129.37273,455.54645,88.01799,441.85236,129.2549,,
6833,34.16,175.38896,-88.46371,209.61972,-108.03977,,,178.187,-127.60007,457.23621,89.23322,443.62207,130.52817,,
6834,34.165,175.66602,-86.57542,209.94423,-106.31287,,,178.56984,-125.82911,458.99826,90.31654,445.27921,131.73152,,
6835,34.17,175.97267,-84.83051,210.1868,-104.42318,,,178.83084,-124.15081,460.6611,91.60735,447.02481,132.95714,,
6836,34.175,176.26004,-83.09351,210.47765,-102.6424,,,179.0641,-122.29981,462.42792,92.98579,448.87872,134.25745,,
6837,34.18,176.54758,-81.36273,210.71652,-100.96049,,,179.4113,-120.58664,464.05118,94.06128,450.52774,135.61769,,
6838,34.185,176.86717,-79.47411,210.99257,-99.15166,,,179.61595,-118.61095,465.63602,95.47784,452.29129,137.12085,,
6839,34.19,177.17831,-77.76366,211.34128,-97.3664,,,179.97591,-117.04807,467.37164,96.64562,454.02472,138.45164,,
6840,34.195,177.5166,-75.9623,211.65201,-95.67265,,,180.22861,-115.22028,468.94836,97.99235,455.98752,139.81351,,
6841,34.2,177.82791,-74.21479,212.02367,-93.8876,,,180.5464,-113.37534,470.57208,99.26294,457.81924,141.42537,,
6842,34.205,178.17563,-72.42292,212.28009,-92.13242,,,180.74063,-111.58085,472.25632,100.71288,459.51453,143.06812,,
6843,34.21,178.51192,-70.59242,212.64751,-90.22456,,,181.11612,-109.89851,473.84766,102.30276,461.4473,144.76079,,
6844,34.215,178.81686,-68.86912,212.93251,-88.64339,,,181.36792,-108.10283,475.6355,103.65384,463.57648,146.41104,,
6845,34.22,179.10684,-67.06715,213.26828,-86.91891,,,181.72118,-106.43987,477.3103,105.13632,465.51239,148.10454,,
6846,34.225,179.48506,-65.29668,213.52487,-85.15871,,,182.11595,-104.66221,479.18652,106.65661,467.65268,149.83203,,
6847,34.23,179.75682,-63.68268,213.84106,-83.35143,,,182.39969,-102.89169,481.06943,108.35241,469.55624,151.56808,,
6848,34.235,180.0943,-61.79067,214.22485,-81.5596,,,182.77086,-101.22701,482.86032,109.88707,471.32712,153.07684,,
